pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Brasil, 1986, C 182, 50, CRUZADO, FE, PAPEL, 154X74, A1093059410A, OSWALDO CRUZ, INSTITUTO OSWALDDO CRUZ, 15
Brasil, 1986, C 189, 500, CRUZADO, B, PAPEL, 154X74, SERIE A0860083455A, VILLA LOBOS, REGENDO, 8
Brasil, 1986, C 178, 50000, CRUZEIRO, REPOR, PAPEL, 154X54, SERIE A4184087302A CARIMBADA 50 CRUZADO, OSWALDO CRUZ, INSTITUTO OSWALDO CRUZ, 3
Brasil, 1986, C 185, 100, CRUZADO, MBC, PAPEL, 154X74, SERIE A0976009065A, JUSCELINO KUBITSCHEK, CONGRESSO NACIONAL, 5
Brasil, 1987, C 180, 10, CRUZADO, FE, PAPEL, 152X72, A0616051567A, RUI BARBOSA, CONFERENCIA DA PAZ, 15
Brasil, 1987, C 181, 10, CRUZADO, REPOR, PAPEL, 152X72, A1435016311A, RUI BARBOSA, CONFERENCIA DA PAZ, 0
Brasil, 1987, C 186, 100, CRUZADO, SOB, PAPEL, 153X73, A1399097790A, JUSCELINO KUBITSCHEK, CONGRESSO NACIONAL, 5
Brasil, 1987, C 191, 500, CRUZADO, FE, PAPEL, 154X74, SERIE A7493015824A, VILLA LOBOS, REGENDO, 12
Brasil, 1987, C 193, 1000, CRUZADO, BC, PAPEL, 155X74, SERIE A1461041661A, MACHADO DE ASSIS, RUA PRIMEIRO DE MAIO, 3
Brasil, 1987, C 183, 50, CRUZADO, BC, PAPEL, 154X74, SERIE A1805050308A, OSWALDO CRUZ, INSTITUTO OSWALDO CRUZ, 3
Brasil, 1987, C 187, 100, CRUZADO, SOB, PAPEL, 154X74, SERIE A2180037189A, JUSCELINO KUBITSCHEK, CONGRESSO NACIONAL, 2
Brasil, 1988, C 194, 1000, CRUZADO, FE, PAPEL, 155X74, A9764025401A, MACHADO DE ASSIS, RIO DE JANEIRO R 1 DE MARCO EM 1905, 15
Brasil, 1988, C 196, 10000, CRUZADO, BC, PAPEL, 154X74, A0927023142A, CARLOS CHAGAS, LABORATORIO, 5
Brasil, 1988, C 195, 5000, CRUZADO, BC, PAPEL, 154X74, SERIE A0909025273A, CANDIDO PORTINARI, REGENDO, 5
Brasil, 1988, C 192, 500, CRUZADO, FE, PAPEL, 154X64, A7811025856A, VILLA LOBOS, REGENDO, 5
Brasil, 1989, C 197, 1, CRUZADO NOVO, FE, PAPEL, 154X74, A9938018847 1000 CRUZADO CARIMBADO 1 CRUZADO NOVO, MACHADO DE ASSIS, RIO DE JANEIRO R 1 DE MARCO EM 1905, 15
