pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,datacadastro; 
Argentina,2007,107,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,18.2MM,,LOGO EXERCITO ARGENTINO,,15 de jun de 2018; 
Argentina,2007,109,5 CENTAVO,PESO,Moeda,,LATAO ACO,17.2MM,,,,15 de jun de 2018; 
Argentina,2008,107,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,18.2MM,,LOGO EXERCITO ARGENTINO,,15 de jun de 2018; 
Argentina,2009,111.2,50 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,25.2MM,,CAPITAL DA PROVINCIA DE TUCUMAN,,15 de jun de 2018; 
Argentina,2009,112,1,PESO,Moeda,B,BI METALICA,23MM,,SOL E VALOR,ESCUDO DAS FORCAS ARMADAS,15 de jun de 2018; 
Argentina,2010,112,1,PESO,Moeda,,BIMETALICA,23MM,BICENTENARIO,,,15 de jun de 2018; 
Argentina,2010,112,1,PESO,Moeda,,BIMETALICA,23MM,PRIMERA MONEDA,,,15 de jun de 2018; 
Argentina,2010,165,2,PESO,Moeda,,BIMETALICA,24.5MM,SOL,,,15 de jun de 2018; 
Argentina,2010,110.1,25 CENTAVO,PESO,Moeda,MBC,ALUMINIO BRONZE,24.2MM,,,,13 de ago de 2018; 
Argentina,2011,107A,10 CENTAVO,PESO,Moeda,,LATAO,18.2MM,,,,15 de jun de 2018; 
Argentina,1960,58,1,PESO,Moeda,MBC,ACO NIQUEL,25.9MM,,,,27 de fev de 2020; 
Argentina,1943,42,20 CENTAVOS,PESO,Moeda,B,ALUMINIO BRONZE,21.2MM,,,,27 de fev de 2020; 
Argentina,1952,48,20 CENTAVO,PESO,Moeda,B,CUPRO NIQUEL,21.3MM,BORDA ESTRIADA,JOSE DE SAN MARTIN,VALOR,28 de fev de 2020; 
Argentina,1945,40,5 CENTAVOS,PESO,Moeda,B,ALUMINIO BRONZE,17MM,,LIBERDADE,VALOR VACA,28 de fev de 2020; 
Argentina,1975,68,5 CENTAVO,PESO,Moeda,BC,LATAO,21MM,,,,28 de fev de 2020; 
Argentina,1985,92,5,PESO,Moeda,BC,LATAO,19.5MM,,,,28 de fev de 2020; 
Argentina,2009,109B,5 CENTAVO,PESO,Moeda,MBC,ACO LATAO,17.2MM,,,,17 de mai de 2020; 
Argentina,2009,110.1,25 CENTAVO,PESO,Moeda,MBC,ALUMINIO BRONZE,24.2MM,,,,17 de mai de 2020; 
Argentina,1994,110A,25 CENTAVO,PESO,Moeda,MBC,CUPRO NIQUEL,24.2MM,,,,17 de mai de 2020; 
Argentina,2010,156,1,PESO,Moeda,MBC,BI METALICA,23MM,EL PALMAR,,,17 de mai de 2020; 
Argentina,1990,105,1000,AUSTRAL,Moeda,24.1MM,ALUMINIO,23MM,,,,17 de mai de 2020; 
Argentina,1942,35,10 CENTAVO,PESO,Moeda,MBC,CUPRO NIQUEL,19.3MM,,,,17 de mai de 2020; 
Armenia,1994,54,1,DRAM,Moeda,SOB,ALUMINIO,22MM,,ESCUDO AGUIA 2 CABECAS,VALOR,1 de ago de 2018; 
Armenia,2003,95,100,DRAM,Moeda,SOB,ACO NICKEL,22.5MM,,VALOR,ESCUDO FORCAS ARMADAS,15 de jun de 2018; 
Aruba,1990,2,10 CENT,FLORIN,Moeda,BOA,NICKEL ACO,17.95MM,,ESCUDO FORCAS  ARMADAS,VALOR,15 de jun de 2018; 
Australia,1978,63,2 CENT,DOLAR AUSTRALIANO,Moeda,,BRONZE,21.6MM,,ELIZABETH II JOVEM,LAGARTO,15 de jun de 2018; 
Australia,1983,65,10 CENTIMO,DOLAR AUSTRALIANO,Moeda,B,COBRE NIQUEL,23.6MM,,VALOR PAVAO,ELIZABETH II,1 de ago de 2018; 
Australia,1989,79,2 CENT,DOLAR AUSTRALIANO,Moeda,,BRONZE,21.6MM,,ELIZABETH II,LAGARTO,15 de jun de 2018; 
Australia,2006,401,5 CENTIMO,DOLAR AUSTRALIANO,Moeda,MBC,COBRE NIQUEL,19.4MM,,VALOR PORCO ESPINHO,ELIZABETH II,1 de ago de 2018; 
Australia,2006,406,2,DOLAR,Moeda,B,ALUMINIO BRONZE,20.5MM,,,,13 de ago de 2018; 
Australia,2009,406,2,DOLAR AUSTRALIANO,Moeda,,ALUMINIO BRONZE,20.5MM,,,,15 de jun de 2018; 
Australia,2004,406,2,DOLAR AUSTRALIANO,Moeda,MBC,ALUMINIO BRONZE,20.5MM,,,,17 de mai de 2020; 
Austria,1976,2918,10,SCHILLING,Moeda,B,CUPRONIQUEL,26MM,,,,15 de jun de 2018; 
Austria,1981,2878,10,GROSCHEN,Moeda,,ALUMINIO,20MM,REPUBLIC OSTERREICH,AGUIA IMPERIAL,,15 de jun de 2018; 
Austria,1992,2886,1,SCHILLING,Moeda,,ALUMINIO BRONZE,22.5MM,,,FLOR DE EDELWEISS,15 de jun de 2018; 
Austria,2002,3085,10 CENTIMO,EURO,Moeda,BOA,LATAO,19.75MM,,VALOR,,15 de jun de 2018; 
Austria,2005,3084,5 CENTIMO,EURO,Moeda,B,ACO COBRE,21.25 MM,,,,13 de ago de 2018; 
Austria,2007,3084,5 CENTIMO,EURO,Moeda,,ACO REVESTIDO DE COBRE,21.3MM,,FLOR NO CENTRO DA MOEDA,VALOR,15 de jun de 2018; 
Bahamas,1979,63.1,25 CENT,DOLAR BAAMIANO,Moeda,,NICKEL,24.26MM,,FORCAS  ARMADAS,BARCO,15 de jun de 2018; 
Bahamas,2015,218.3,1 CENT,DOLAR,Moeda,SOB,ACO COBRE,17MM,METALICA,ESTRELA DO MAR,ESCUDO FORCAS ARMADAS,28 de out de 2019; 
Bahamas,2006,218.1,1 CENT,DOLAR BAAMIANO,Moeda,MBC,COBRE ZINCO,19MM,,,,17 de mai de 2020; 
Bahrain,1992,16,5 Fils,DINAR,Moeda,SOB,LATAO,19MM,,VALOR COM RETANGULO,COQUEIRO,15 de jun de 2018; 
Bangladesh,1974,5,1,POISHA,Moeda,MBC,ALUMINIO,15.91MM,,SIMBOLO PARECIDO COM ANZOL,,15 de jun de 2018; 
Belgica,1913,69,25 CENTIMO,FRANCO,Moeda,B,COBRE NIQUEL,26MM,MOEDA FURADA,VALOR,BELGIE,1 de ago de 2018; 
Belgica,1950,134,5,FRANCO,Moeda,B,COBRE NICKEL,24MM,BELGIQUE,,,15 de jun de 2018; 
Belgica,1951,142,1,FRANCO,Moeda,UTG,COBRE NICKEL,21MM,BELGIQUE,,,15 de jun de 2018; 
Belgica,1966,154,25 CENTIMO,FRANCO,Moeda,BOA,NICKEL,16MM,BELGIE,VALOR,B,15 de jun de 2018; 
Belgica,1977,142,1,FRANCO,Moeda,B,COBRE NIQUEL,21MM,,VALOR,CABECA DE LADO,1 de ago de 2018; 
Belgica,1981,159,20,FRANCO,Moeda,,BRONZE NICKEL,25.53MM,,CABECA,BELGIE,15 de jun de 2018; 
Belgica,1986,163,5,FRANCO,Moeda,,LATAO,24MM,,,BELGIQUE,15 de jun de 2018; 
Belgica,1991,171,1,FRANCO,Moeda,,FERRO NICKEL,18MM,,,BELGIE,15 de jun de 2018; 
Belgica,1999,227,10 CENTIMO,EURO,Moeda,,LATAO,19.75MM,,,,15 de jun de 2018; 
Belgica,1999,226,5 CENTIMO,EURO,Moeda,,ACO NICKEL,21.25MM,,,,15 de jun de 2018; 
Belgica,2000,228,20 CENTIMO,EURO,Moeda,,LATAO,22.25MM,,,,15 de jun de 2018; 
Belgica,2004,226,5 CENTIMO,EURO,Moeda,MBC,ACO COBRE,21.25MM,,,,13 de ago de 2018; 
Belgica,2007,225,2 CENTIMO,EURO,Moeda,,ACO NICKEL,18.7MM,,,,15 de jun de 2018; 
Belgica,2010,278,20 CENTIMO,EURO,Moeda,,LATAO,22.1MM,,,,15 de jun de 2018; 
Bermudas,1983,17,10 CENTIMO,DOLAR,Moeda,SOB,COBRE NICKEL,17.8MM,,ELIZABETH II,VALOR COM 2 FLORES,15 de jun de 2018; 
Bolivia,1968,192,1,PESO,Moeda,MBC,NIQUEL ACO,27MM,,,,1 de ago de 2018; 
Bolivia,1973,189,20 CENTAVO,PESO,Moeda,MBC,NIQUEL ACO,22MM,,,,1 de ago de 2018; 
Bolivia,1978,197,5,PESO,Moeda,MBC,ACO CUPRO NICKEL,30MM,,,,15 de jun de 2018; 
Bolivia,1987,204,50 CENTAVO,PESO BOLIVIANO,Moeda,B,ACO INOX,24MM,LA UNION ES LA FUERZA,VALOR,ESCUDO FORCAS ARMADAS,15 de jun de 2018; 
Bolivia,1991,205,1,PESO BOLIVIANO,Moeda,,ACO,27MM,,FORCAS  ARMADAS,,15 de jun de 2018; 
Brasil,1824,363.2,40,REIS,Moeda,UTG,COBRE,37MM,,PETRUS I D G CONST IMP ET PERP BRAS DEF,,15 de jun de 2018; 
Brasil,1828,360.2,20,REIS,Moeda,UTG,COBRE,30MM,B BAHIA,CARIMBO 10,,15 de jun de 2018; 
Brasil,1868,463,10,REIS,Moeda,,BRONZE,20.22MM,,IMPERADOR PEDRO II,SIMBOLO DA COROA ARMADA,15 de jun de 2018; 
Brasil,1868,474,20,REIS,Moeda,,BRONZE,25.39MM,,PETRUS II,SIMBOLO DA COROA ARMADA,15 de jun de 2018; 
