                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
191                      Brasil  1961     KM# 570             1          CRUZEIRO                                                                                               ALUMINIO   23.23MM       5.73; 
192                      Brasil  1947     KM# 559             2         CRUZEIROS                                                                                        ALUMINIO-BRONZE      25MM       5.32; 
193                      Brasil  1994     KM# 627             5   CRUZEIROS REAIS                                                                                         ACO INOXIDAVEL      21MM       5.86; 
194                      Brasil  1989     KM# 614            50          CENTAVOS                                                                                         ACO INOXIDAVEL    19.5MM       2.29; 
195                      Brasil  1986     KM# 601             5          CENTAVOS                                                                                         ACO INOXIDAVEL      16MM        2.9; 
196                      Brasil  1960     KM# 569            50          CENTAVOS                                                                                               ALUMINIO   21.07MM        6.4; 
197                      Brasil  1958     KM# 570             1          CRUZEIRO                                                                                               ALUMINIO   23.23MM       7.01; 
198                      Brasil  1960     KM# 570             1          CRUZEIRO                                                                                               ALUMINIO   23.23MM        3.1; 
199                      Brasil  1959     KM# 571             2         CRUZEIROS                                                                                               ALUMINIO   25.26MM       5.73; 
200                      Brasil  1961     KM# 571             2         CRUZEIROS                                                                                               ALUMINIO   25.26MM       3.98; 
201                      Brasil  1965     KM# 572            10         CRUZEIROS                                                                                               ALUMINIO    23.5MM       6.34; 
202                      Brasil  1975   KM# 575.2             1           CENTAVO                                                                                         ACO INOXIDAVEL      17MM       3.37; 
203                      Brasil  1975     KM# 585             1           CENTAVO                                                                                         ACO INOXIDAVEL      17MM       3.98; 
204                      Brasil  1975   KM# 576.2             2          CENTAVOS                                                                                         ACO INOXIDAVEL      19MM       5.39; 
205                      Brasil  1975     KM# 586             2          CENTAVOS                                                                                         ACO INOXIDAVEL      19MM       4.04; 
206                      Brasil  1986   KM# 593.2            20         CRUZEIROS                                                                                         ACO INOXIDAVEL      26MM       5.46; 
207                      Brasil  1889     KM# 493           200              REIS                                                                                           CUPRO-NIQUEL    32.1MM      28.98; 
208                      Brasil  1922     KM# 521           500              REIS                                                                                        ALUMINIO-BRONZE    22.7MM       9.77; 
209                      Brasil  1922     KM# 522          1000              REIS                                                                                        ALUMINIO-BRONZE    26.8MM      12.74; 
210                      Brasil  1967   KM# 575.1             1           CENTAVO                                                                                         ACO INOXIDAVEL      17MM       2.36; 
211                      Brasil  2018   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM       1.62; 
212                      Brasil  1972     KM# 582             1          CRUZEIRO                                                                                                 NIQUEL      29MM       7.55; 
213                      Brasil  2018     KM# 650            25          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      25MM       4.58; 
214                      Brasil  2018    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       3.98; 
215                      Brasil  2018     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       2.16; 
